work_order_id,cluster
WO-0000000,-1
WO-0000001,-1
WO-0000002,-1
WO-0000003,-1
WO-0000004,-1
WO-0000005,-1
WO-0000006,-1
WO-0000007,-1
WO-0000008,-1
WO-0000009,-1
WO-0000010,-1
WO-0000011,-1
WO-0000012,-1
WO-0000013,-1
WO-0000014,-1
WO-0000015,-1
WO-0000016,-1
WO-0000017,-1
WO-0000018,-1
WO-0000019,-1
WO-0000020,-1
WO-0000021,-1
WO-0000022,-1
WO-0000023,-1
WO-0000024,-1
WO-0000025,-1
WO-0000026,-1
WO-0000027,-1
WO-0000028,-1
WO-0000029,0
WO-0000030,-1
WO-0000031,0
WO-0000032,-1
WO-0000033,-1
WO-0000034,-1
WO-0000035,-1
WO-0000036,-1
WO-0000037,-1
WO-0000038,-1
WO-0000039,-1
WO-0000040,-1
WO-0000041,-1
WO-0000042,-1
WO-0000043,-1
WO-0000044,-1
WO-0000045,-1
WO-0000046,-1
WO-0000047,-1
WO-0000048,-1
WO-0000049,-1
WO-0000050,-1
WO-0000051,-1
WO-0000052,-1
WO-0000053,-1
WO-0000054,-1
WO-0000055,-1
WO-0000056,0
WO-0000057,-1
WO-0000058,-1
WO-0000059,-1
WO-0000060,-1
WO-0000061,-1
WO-0000062,-1
WO-0000063,-1
WO-0000064,-1
WO-0000065,-1
WO-0000066,-1
WO-0000067,-1
WO-0000068,0
WO-0000069,-1
WO-0000070,-1
WO-0000071,-1
WO-0000072,-1
WO-0000073,-1
WO-0000074,0
WO-0000075,-1
WO-0000076,-1
WO-0000077,-1
WO-0000078,-1
WO-0000079,-1
WO-0000080,-1
WO-0000081,-1
WO-0000082,-1
WO-0000083,-1
WO-0000084,-1
WO-0000085,-1
WO-0000086,-1
WO-0000087,-1
WO-0000088,-1
WO-0000089,-1
WO-0000090,0
WO-0000091,-1
WO-0000092,0
WO-0000093,-1
WO-0000094,-1
WO-0000095,0
WO-0000096,-1
WO-0000097,-1
WO-0000098,-1
WO-0000099,-1
WO-0000100,-1
WO-0000101,0
WO-0000102,-1
WO-0000103,-1
WO-0000104,-1
WO-0000105,-1
WO-0000106,-1
WO-0000107,-1
WO-0000108,-1
WO-0000109,-1
WO-0000110,-1
WO-0000111,-1
WO-0000112,-1
WO-0000113,-1
WO-0000114,-1
WO-0000115,-1
WO-0000116,-1
WO-0000117,-1
WO-0000118,-1
WO-0000119,0
WO-0000120,-1
WO-0000121,-1
WO-0000122,-1
WO-0000123,-1
WO-0000124,-1
WO-0000125,-1
WO-0000126,-1
WO-0000127,-1
WO-0000128,-1
WO-0000129,-1
WO-0000130,-1
WO-0000131,-1
WO-0000132,-1
WO-0000133,-1
WO-0000134,-1
WO-0000135,-1
WO-0000136,-1
WO-0000137,-1
WO-0000138,0
WO-0000139,-1
WO-0000140,-1
WO-0000141,-1
WO-0000142,0
WO-0000143,-1
WO-0000144,-1
WO-0000145,-1
WO-0000146,-1
WO-0000147,-1
WO-0000148,-1
WO-0000149,-1
WO-0000150,-1
WO-0000151,-1
WO-0000152,-1
WO-0000153,-1
WO-0000154,-1
WO-0000155,0
WO-0000156,-1
WO-0000157,-1
WO-0000158,-1
WO-0000159,0
WO-0000160,-1
WO-0000161,-1
WO-0000162,-1
WO-0000163,-1
WO-0000164,-1
WO-0000165,-1
WO-0000166,-1
WO-0000167,-1
WO-0000168,0
WO-0000169,-1
WO-0000170,-1
WO-0000171,-1
WO-0000172,-1
WO-0000173,-1
WO-0000174,-1
WO-0000175,-1
WO-0000176,-1
WO-0000177,-1
WO-0000178,-1
WO-0000179,-1
WO-0000180,-1
WO-0000181,0
WO-0000182,-1
WO-0000183,-1
WO-0000184,-1
WO-0000185,-1
WO-0000186,-1
WO-0000187,0
WO-0000188,-1
WO-0000189,0
WO-0000190,0
WO-0000191,-1
WO-0000192,-1
WO-0000193,-1
WO-0000194,-1
WO-0000195,-1
WO-0000196,0
WO-0000197,0
WO-0000198,-1
WO-0000199,-1
WO-0000200,-1
WO-0000201,-1
WO-0000202,-1
WO-0000203,-1
WO-0000204,-1
WO-0000205,-1
WO-0000206,0
WO-0000207,0
WO-0000208,-1
WO-0000209,-1
WO-0000210,0
WO-0000211,-1
WO-0000212,-1
WO-0000213,-1
WO-0000214,-1
WO-0000215,-1
WO-0000216,-1
WO-0000217,-1
WO-0000218,-1
WO-0000219,-1
WO-0000220,0
WO-0000221,-1
WO-0000222,-1
WO-0000223,-1
WO-0000224,-1
WO-0000225,-1
WO-0000226,-1
WO-0000227,-1
WO-0000228,-1
WO-0000229,-1
WO-0000230,-1
WO-0000231,-1
WO-0000232,-1
WO-0000233,-1
WO-0000234,0
WO-0000235,-1
WO-0000236,-1
WO-0000237,-1
WO-0000238,-1
WO-0000239,-1
WO-0000240,-1
WO-0000241,-1
WO-0000242,-1
WO-0000243,0
WO-0000244,-1
WO-0000245,-1
WO-0000246,-1
WO-0000247,-1
WO-0000248,-1
WO-0000249,-1
WO-0000250,-1
WO-0000251,-1
WO-0000252,0
WO-0000253,-1
WO-0000254,-1
WO-0000255,-1
WO-0000256,-1
WO-0000257,-1
WO-0000258,-1
WO-0000259,0
WO-0000260,0
WO-0000261,0
WO-0000262,-1
WO-0000263,-1
WO-0000264,-1
WO-0000265,-1
WO-0000266,0
WO-0000267,0
WO-0000268,-1
WO-0000269,-1
WO-0000270,-1
WO-0000271,-1
WO-0000272,-1
WO-0000273,-1
WO-0000274,-1
WO-0000275,-1
WO-0000276,-1
WO-0000277,-1
WO-0000278,-1
WO-0000279,-1
WO-0000280,-1
WO-0000281,-1
WO-0000282,-1
WO-0000283,-1
WO-0000284,-1
WO-0000285,-1
WO-0000286,-1
WO-0000287,-1
WO-0000288,-1
WO-0000289,-1
WO-0000290,-1
WO-0000291,0
WO-0000292,-1
WO-0000293,-1
WO-0000294,-1
WO-0000295,-1
WO-0000296,-1
WO-0000297,-1
WO-0000298,-1
WO-0000299,-1
WO-0000300,-1
WO-0000301,-1
WO-0000302,-1
WO-0000303,-1
WO-0000304,-1
WO-0000305,-1
WO-0000306,-1
WO-0000307,-1
WO-0000308,-1
WO-0000309,-1
WO-0000310,-1
WO-0000311,-1
WO-0000312,-1
WO-0000313,-1
WO-0000314,-1
WO-0000315,-1
WO-0000316,-1
WO-0000317,-1
WO-0000318,-1
WO-0000319,-1
WO-0000320,-1
WO-0000321,-1
WO-0000322,-1
WO-0000323,-1
WO-0000324,-1
WO-0000325,-1
WO-0000326,-1
WO-0000327,0
WO-0000328,0
WO-0000329,-1
WO-0000330,0
WO-0000331,-1
WO-0000332,-1
WO-0000333,-1
WO-0000334,-1
WO-0000335,-1
WO-0000336,0
WO-0000337,-1
WO-0000338,-1
WO-0000339,-1
WO-0000340,-1
WO-0000341,-1
WO-0000342,-1
WO-0000343,-1
WO-0000344,-1
WO-0000345,-1
WO-0000346,0
WO-0000347,-1
WO-0000348,-1
WO-0000349,-1
WO-0000350,-1
WO-0000351,-1
WO-0000352,-1
WO-0000353,-1
WO-0000354,-1
WO-0000355,0
WO-0000356,-1
WO-0000357,-1
WO-0000358,0
WO-0000359,-1
WO-0000360,-1
WO-0000361,-1
WO-0000362,-1
WO-0000363,0
WO-0000364,-1
WO-0000365,-1
WO-0000366,-1
WO-0000367,-1
WO-0000368,-1
WO-0000369,-1
WO-0000370,-1
WO-0000371,-1
WO-0000372,0
WO-0000373,-1
WO-0000374,0
WO-0000375,-1
WO-0000376,0
WO-0000377,-1
WO-0000378,-1
WO-0000379,0
WO-0000380,-1
WO-0000381,-1
WO-0000382,-1
WO-0000383,0
WO-0000384,-1
WO-0000385,-1
WO-0000386,0
WO-0000387,-1
WO-0000388,-1
WO-0000389,-1
WO-0000390,-1
WO-0000391,-1
WO-0000392,-1
WO-0000393,-1
WO-0000394,-1
WO-0000395,-1
WO-0000396,-1
WO-0000397,-1
WO-0000398,0
WO-0000399,-1
WO-0000400,-1
WO-0000401,-1
WO-0000402,-1
WO-0000403,-1
WO-0000404,-1
WO-0000405,-1
WO-0000406,-1
WO-0000407,-1
