work_order_id,catalog_id,supplier,device_type,technician,shift,build_date,logcnt_ERROR,logcnt_INFO,logcnt_WARN,logcnt_total,loglen_avg,cl_0,cl_1,cl_-1,saw_noise,failure_label
WO-0000000,CAT-1010,SPLR_09,EDGE_AI,Erin,B,2025-01-01,2,4,5,11,41.90909090909091,0,0,1,1,0
WO-0000001,CAT-1103,SPLR_02,EMBEDDED_A,Gabriel,B,2025-01-01,4,7,6,17,34.64705882352941,0,0,1,1,0
WO-0000002,CAT-1086,SPLR_03,EDGE_AI,Kathy,A,2025-01-01,1,8,2,11,28.363636363636363,0,0,1,1,0
WO-0000003,CAT-1054,SPLR_16,EDGE_AI,Thomas,C,2025-01-01,2,6,3,11,30.0,0,0,1,1,0
WO-0000004,CAT-1065,SPLR_05,RACK2U,Donald,A,2025-01-01,5,6,2,13,30.0,0,0,1,1,0
WO-0000005,CAT-1066,SPLR_15,RACK1U,Lisa,B,2025-01-01,4,3,4,11,36.18181818181818,0,0,1,1,0
WO-0000006,CAT-1084,SPLR_17,RACK1U,Kimberly,B,2025-01-01,6,7,3,16,30.5625,0,0,1,1,0
WO-0000007,CAT-1107,SPLR_04,RACK1U,Felicia,A,2025-01-01,1,6,3,10,30.9,0,0,1,1,0
WO-0000008,CAT-1065,SPLR_13,U25,Philip,C,2025-01-01,2,9,3,14,28.714285714285715,0,0,1,1,0
WO-0000009,CAT-1089,SPLR_07,STORAGE_NODE,Carolyn,B,2025-01-01,3,4,1,8,33.5,0,0,1,1,1
WO-0000010,CAT-1095,SPLR_03,U25,Anna,A,2025-01-01,4,6,0,10,26.9,0,0,1,1,0
WO-0000011,CAT-1057,SPLR_12,STORAGE_NODE,Brandon,C,2025-01-01,2,2,1,5,30.0,0,0,1,1,0
WO-0000012,CAT-1075,SPLR_06,EMBEDDED_B,Jose,C,2025-01-01,2,8,0,10,29.7,0,0,1,1,0
WO-0000013,CAT-1099,SPLR_08,STORAGE_NODE,Tracy,B,2025-01-01,5,4,2,11,40.27272727272727,0,0,1,1,0
WO-0000014,CAT-1076,SPLR_04,U25,Rachel,B,2025-01-01,7,10,1,18,40.611111111111114,0,0,1,1,0
WO-0000015,CAT-1000,SPLR_12,RACK2U,Marissa,B,2025-01-01,2,2,1,5,30.2,0,0,1,1,1
WO-0000016,CAT-1066,SPLR_11,RACK2U,Katherine,A,2025-01-01,2,7,2,11,27.0,0,0,1,1,0
WO-0000017,CAT-1016,SPLR_12,EMBEDDED_B,Felicia,B,2025-01-01,5,2,2,9,53.0,0,0,1,1,0
WO-0000018,CAT-1009,SPLR_12,EDGE_AI,Katherine,B,2025-01-01,2,5,4,11,26.454545454545453,0,0,1,1,0
WO-0000019,CAT-1066,SPLR_06,EMBEDDED_A,Megan,A,2025-01-01,1,9,2,12,26.0,0,0,1,1,0
WO-0000020,CAT-1117,SPLR_08,U25,Aaron,A,2025-01-01,6,6,4,16,40.4375,0,0,1,1,1
