work_order_id,ts,level,message
WO-0000000,2025-01-01T08:02:21,WARN,device id 79cbfb detected
WO-0000000,2025-01-01T08:02:31,WARN,firmware expected=v3.4.19 actual=v1.2.17; aborting flash
WO-0000000,2025-01-01T08:15:38,WARN,USB bus stall: device 88f1737e9f8d on port 6 failed to enumerate
WO-0000000,2025-01-01T08:21:13,INFO,checksum 162e36c9 verified
WO-0000000,2025-01-01T08:22:13,INFO,invoking task stage_image
WO-0000000,2025-01-01T08:29:45,ERROR,catalog policy violation: image v2.4.6 vs device v3.3.12
WO-0000000,2025-01-01T08:34:20,INFO,device id 3be658 detected
WO-0000000,2025-01-01T08:36:46,WARN,USB bus stall: device 665b00157435 on port 3 failed to enumerate
WO-0000000,2025-01-01T08:38:44,WARN,USB bus stall: device 7b0bc709c716 on port 3 failed to enumerate
WO-0000000,2025-01-01T08:40:03,INFO,step completed: qc duration=22s
WO-0000000,2025-01-01T08:59:34,ERROR,invoking task run_memtest
WO-0000001,2025-01-01T12:02:13,ERROR,checksum 0b5dc35d verified
WO-0000001,2025-01-01T12:10:26,ERROR,Hub reset required; descriptor read timeout on port 4
WO-0000001,2025-01-01T12:11:49,INFO,checksum a95af050 verified
WO-0000001,2025-01-01T12:15:54,INFO,device id 77117b detected
WO-0000001,2025-01-01T12:16:01,WARN,Hub reset required; descriptor read timeout on port 1
WO-0000001,2025-01-01T12:16:04,INFO,device id 6854d3 detected
WO-0000001,2025-01-01T12:16:22,INFO,checksum e0e6cc9b verified
WO-0000001,2025-01-01T12:18:56,INFO,device id fb800e detected
WO-0000001,2025-01-01T12:23:21,WARN,USB bus stall: device 9661e7225c11 on port 6 failed to enumerate
WO-0000001,2025-01-01T12:24:30,INFO,checksum e824536d verified
WO-0000001,2025-01-01T12:24:43,WARN,memtest intermittent failure: pattern=0xAA55; addr=0x6f5e619b4962
WO-0000001,2025-01-01T12:27:34,ERROR,device id 3c98f1 detected
WO-0000001,2025-01-01T12:30:36,WARN,step completed: audit duration=64s
WO-0000001,2025-01-01T12:41:22,WARN,DIMM error corrected>threshold; slot 4
WO-0000001,2025-01-01T12:43:13,ERROR,device id 998aef detected
WO-0000001,2025-01-01T12:57:00,INFO,invoking task install_driver
WO-0000001,2025-01-01T12:58:45,WARN,device id 1f36eb detected
WO-0000002,2025-01-01T12:03:08,INFO,step completed: flash duration=2s
WO-0000002,2025-01-01T12:26:04,INFO,device id 55dac9 detected
WO-0000002,2025-01-01T12:38:41,INFO,device id 90bcc0 detected
WO-0000002,2025-01-01T12:39:25,INFO,step completed: provision duration=92s
WO-0000002,2025-01-01T12:42:50,INFO,invoking task collect_telemetry
WO-0000002,2025-01-01T12:43:04,WARN,device id e5eb43 detected
WO-0000002,2025-01-01T12:51:16,WARN,checksum 6b79eabf verified
WO-0000002,2025-01-01T12:54:19,INFO,checksum c6cb81f0 verified
WO-0000002,2025-01-01T12:55:21,INFO,checksum 3ff3c7b1 verified
WO-0000002,2025-01-01T12:57:44,ERROR,step completed: qc duration=103s
WO-0000002,2025-01-01T12:57:50,INFO,device id 48c0e2 detected
WO-0000003,2025-01-01T14:00:35,INFO,checksum af829496 verified
WO-0000003,2025-01-01T14:06:11,ERROR,device id 1aade5 detected
WO-0000003,2025-01-01T14:08:44,INFO,checksum ad1a1f4d verified
WO-0000003,2025-01-01T14:18:05,INFO,step completed: audit duration=96s
WO-0000003,2025-01-01T14:28:11,WARN,step completed: audit duration=81s
WO-0000003,2025-01-01T14:36:01,ERROR,checksum f8b88041 verified
WO-0000003,2025-01-01T14:43:43,INFO,device id dccc4f detected
WO-0000003,2025-01-01T14:46:57,WARN,step completed: provision duration=64s
WO-0000003,2025-01-01T14:47:16,INFO,step completed: qc duration=83s
WO-0000003,2025-01-01T14:47:18,INFO,step completed: flash duration=88s
WO-0000003,2025-01-01T14:59:02,WARN,step completed: qc duration=60s
WO-0000004,2025-01-01T17:01:35,INFO,step completed: flash duration=42s
WO-0000004,2025-01-01T17:13:03,ERROR,DIMM error corrected>threshold; slot 4
WO-0000004,2025-01-01T17:17:52,INFO,invoking task run_memtest
WO-0000004,2025-01-01T17:20:25,INFO,device id 868229 detected
WO-0000004,2025-01-01T17:23:38,ERROR,device id 1cb43d detected
WO-0000004,2025-01-01T17:30:44,INFO,checksum 40fde103 verified
WO-0000004,2025-01-01T17:31:21,ERROR,step completed: flash duration=90s
WO-0000004,2025-01-01T17:35:25,INFO,checksum 97bf2da9 verified
WO-0000004,2025-01-01T17:39:07,WARN,checksum 3e145d5e verified
WO-0000004,2025-01-01T17:43:17,ERROR,step completed: flash duration=67s
WO-0000004,2025-01-01T17:50:20,WARN,checksum 28afb982 verified
WO-0000004,2025-01-01T17:50:44,INFO,step completed: audit duration=7s
WO-0000004,2025-01-01T17:58:10,ERROR,DIMM error corrected>threshold; slot 8
WO-0000005,2025-01-01T15:00:00,WARN,invoking task stage_image
WO-0000005,2025-01-01T15:24:40,WARN,checksum f4835d07 verified
WO-0000005,2025-01-01T15:25:43,ERROR,slot 1: drive presence=0; expected SAS/SATA; serial=649a012c3f7e
WO-0000005,2025-01-01T15:27:07,INFO,invoking task stage_image
WO-0000005,2025-01-01T15:33:08,WARN,flasher refused downgrade from v4.5.1 to v2.0.6
