work_order_id,catalog_id,supplier,device_type,technician,shift,build_date,failure_label
WO-0000000,CAT-1010,SPLR_09,EDGE_AI,Erin,B,2025-01-01,0
WO-0000001,CAT-1103,SPLR_02,EMBEDDED_A,Gabriel,B,2025-01-01,0
WO-0000002,CAT-1086,SPLR_03,EDGE_AI,Kathy,A,2025-01-01,0
WO-0000003,CAT-1054,SPLR_16,EDGE_AI,Thomas,C,2025-01-01,0
WO-0000004,CAT-1065,SPLR_05,RACK2U,Donald,A,2025-01-01,0
WO-0000005,CAT-1066,SPLR_15,RACK1U,Lisa,B,2025-01-01,0
WO-0000006,CAT-1084,SPLR_17,RACK1U,Kimberly,B,2025-01-01,0
WO-0000007,CAT-1107,SPLR_04,RACK1U,Felicia,A,2025-01-01,0
WO-0000008,CAT-1065,SPLR_13,U25,Philip,C,2025-01-01,0
WO-0000009,CAT-1089,SPLR_07,STORAGE_NODE,Carolyn,B,2025-01-01,1
WO-0000010,CAT-1095,SPLR_03,U25,Anna,A,2025-01-01,0
WO-0000011,CAT-1057,SPLR_12,STORAGE_NODE,Brandon,C,2025-01-01,0
WO-0000012,CAT-1075,SPLR_06,EMBEDDED_B,Jose,C,2025-01-01,0
WO-0000013,CAT-1099,SPLR_08,STORAGE_NODE,Tracy,B,2025-01-01,0
WO-0000014,CAT-1076,SPLR_04,U25,Rachel,B,2025-01-01,0
WO-0000015,CAT-1000,SPLR_12,RACK2U,Marissa,B,2025-01-01,1
WO-0000016,CAT-1066,SPLR_11,RACK2U,Katherine,A,2025-01-01,0
WO-0000017,CAT-1016,SPLR_12,EMBEDDED_B,Felicia,B,2025-01-01,0
WO-0000018,CAT-1009,SPLR_12,EDGE_AI,Katherine,B,2025-01-01,0
WO-0000019,CAT-1066,SPLR_06,EMBEDDED_A,Megan,A,2025-01-01,0
WO-0000020,CAT-1117,SPLR_08,U25,Aaron,A,2025-01-01,1
WO-0000021,CAT-1102,SPLR_02,EDGE_AI,Tracy,A,2025-01-01,1
WO-0000022,CAT-1052,SPLR_11,EMBEDDED_B,Daniel,B,2025-01-01,0
WO-0000023,CAT-1094,SPLR_08,RACK2U,Mark,A,2025-01-01,0
WO-0000024,CAT-1040,SPLR_02,NUC,Jose,B,2025-01-01,1
WO-0000025,CAT-1086,SPLR_04,STORAGE_NODE,Daniel,A,2025-01-01,1
WO-0000026,CAT-1059,SPLR_09,EMBEDDED_B,Gabriel,A,2025-01-01,0
WO-0000027,CAT-1045,SPLR_12,EMBEDDED_A,Kelsey,A,2025-01-01,0
